sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
339   30    1     3       0       0       0      NA            6s280r_bdd.blif
340   30    1     4       0       0       0      NA            6s280r_bdd.blif
341   30    1     5       0       0       0      NA            6s280r_bdd.blif
342   30    1     10      0       0       0      NA            6s280r_bdd.blif
343   30    1     20      0       0       0      NA            6s280r_bdd.blif
344   30    5     1       0       0       0      NA            6s280r_bdd.blif
345   30    5     2       0       0       0      NA            6s280r_bdd.blif
346   30    5     3       0       0       0      NA            6s280r_bdd.blif
347   30    5     4       0       0       0      NA            6s280r_bdd.blif
348   30    5     5       0       0       0      NA            6s280r_bdd.blif
349   30    5     10      0       0       0      NA            6s280r_bdd.blif
350   30    5     20      0       0       0      NA            6s280r_bdd.blif
351   30    10    1       0       0       0      NA            6s280r_bdd.blif
352   30    10    2       0       0       0      NA            6s280r_bdd.blif
353   30    10    3       0       0       0      NA            6s280r_bdd.blif
354   30    10    4       0       0       0      NA            6s280r_bdd.blif
355   30    10    5       0       0       0      NA            6s280r_bdd.blif
356   30    10    10      0       0       0      NA            6s280r_bdd.blif
357   30    10    20      0       0       0      NA            6s280r_bdd.blif
358   40    1     1       0       0       0      NA            6s280r_bdd.blif
359   40    1     2       0       0       0      NA            6s280r_bdd.blif
360   40    1     3       0       0       0      NA            6s280r_bdd.blif
361   40    1     4       0       0       0      NA            6s280r_bdd.blif
362   40    1     5       0       0       0      NA            6s280r_bdd.blif
363   40    1     10      0       0       0      NA            6s280r_bdd.blif
364   40    1     20      0       0       0      NA            6s280r_bdd.blif
365   40    5     1       0       0       0      NA            6s280r_bdd.blif
366   40    5     2       0       0       0      NA            6s280r_bdd.blif
367   40    5     3       0       0       0      NA            6s280r_bdd.blif
368   40    5     4       0       0       0      NA            6s280r_bdd.blif
369   40    5     5       0       0       0      NA            6s280r_bdd.blif
370   40    5     10      0       0       0      NA            6s280r_bdd.blif
371   40    5     20      0       0       0      NA            6s280r_bdd.blif
372   40    10    1       0       0       0      NA            6s280r_bdd.blif
373   40    10    2       0       0       0      NA            6s280r_bdd.blif
374   40    10    3       0       0       0      NA            6s280r_bdd.blif
375   40    10    4       0       0       0      NA            6s280r_bdd.blif
376   40    10    5       0       0       0      NA            6s280r_bdd.blif
377   40    10    10      0       0       0      NA            6s280r_bdd.blif
378   40    10    20      0       0       0      NA            6s280r_bdd.blif
379   1     1     1       0       3       0      NA            6s319r_bdd.blif
380   1     1     2       0       3       0      NA            6s319r_bdd.blif
381   1     1     3       0       3       0      NA            6s319r_bdd.blif
