Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_nxquery_query42_1344n                                     | MUS timed out                                       | 618 / 0 / 351       | 556 / 0 / 351       | 1647 / 0 / 343       | 1.36 / 0.83 / 0.35     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 22.49 sec, ONE         | MUS TimedOut after 1 rounds    | 7.83 / 0.01 / 1647 / 0                                  | 1500.0     
QBFEval2018_sortnetsort7.AE.stepl.007                                 | MUS timed out                                       | 3144 / 0 / 966      | 2577 / 0 / 966      | 5278 / 0 / 1154      | 1.97 / 1.26 / 0.4      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 93.66 sec, ONE         | MUS TimedOut after 1 rounds    | 242.15 / 2.83 / 5278 / 0                                | 1500.0     
QBFEval2017_beemskbn1f1_c0to7.sat                                     | FG timed out                                        | 34863 / 0 / 23111   | 34323 / 0 / 23111   | 102404 / 0 / 37752   | 6.15 / 2.03 / 2.24     | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2018_stmt19_87_95                                              | MUS timed out                                       | 12004 / 67 / 9229   | 11496 / 34 / 9072   | 47114 / 69 / 31247   | 13.1 / 2.87 / 5.66     | PreProc-ed 3 rounds           |                   |                    |                  | 0 iters, 853.46 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query31_eequery_1344n                                     | Preproc finished unsolved, FG skipped, MUS finished | 891 / 0 / 628       | 825 / 0 / 628       | 1973 / 0 / 598       | 1.28 / 0.55 / 0.44     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 14.62 sec, ONE         | MUS Finished after 0 rounds    |                                                         | 50.89      
Disjunctive_Decomposition_bobsmcodic_all_bit_differing_from_cycle     | MUS timed out                                       | 9267 / 0 / 4156     | 7417 / 0 / 4156     | 33786 / 0 / 8408     | 11.57 / 2.73 / 4.56    | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 595.69 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query06_query42_1344n                                     | FG timed out                                        | 3381 / 0 / 1956     | 3263 / 0 / 1956     | 11250 / 0 / 1908     | 17.22 / 12.56 / 3.14   | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#1.asp                    | MUS timed out                                       | 3247 / 0 / 2606     | 3119 / 0 / 2606     | 9214 / 0 / 6030      | 2.69 / 1.53 / 0.66     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 16.62 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobtuint08neg_all_bit_differing_from_cycle  | MUS timed out                                       | 1437 / 0 / 641      | 1225 / 0 / 641      | 4652 / 0 / 1243      | 6.71 / 3.64 / 1.45     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 6.07 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_query48_query42_1344n                                     | FG timed out                                        | 9935 / 0 / 6038     | 9755 / 0 / 6038     | 53006 / 0 / 5814     | 12.19 / 2.77 / 6.22    | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
QBFEval2017_cache-coherence-3-fixpoint-1                              | MUS timed out                                       | 2544 / 12 / 1576    | 2144 / 12 / 1576    | 7154 / 27 / 3612     | 4.38 / 1.96 / 1.31     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 8.59 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_rankfunc2_unsigned_64                                     | MUS timed out                                       | 2570 / 0 / 1622     | 2314 / 0 / 1622     | 6905 / 0 / 3986      | 1.59 / 0.72 / 0.6      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 242.22 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query71_query34_1344n                                     | MUS timed out                                       | 2901 / 0 / 1510     | 2793 / 0 / 1510     | 10280 / 0 / 1582     | 5.13 / 2.52 / 1.49     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 294.42 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
