TestCase                                                                      | Status     | TimeTaken          
Disjunctive_Decomposition_kenflashp12_all_bit_differing_from_cycle.qdimacs    | Timed out  | 1811.123611688614  
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#7.asp.qdimacs                    | Failed     | 0.10531044006347656
QBFEval2018_cache-coherence-2-fixpoint-4.qdimacs                              | Successful | 1495.9480595588684 
QBFEval2018_stmt21_310_360.qdimacs                                            | Timed out  | 1812.20010471344   
QBFEval2018_itc-b13-fixpoint-3.qdimacs                                        | Successful | 390.9699409008026  
QBFEval2018_ethernet-fixpoint-3.qdimacs                                       | Timed out  | 1812.6772379875183 
Arithmetic_decomposition64.qdimacs                                            | Timed out  | 1811.497548341751  
QBFEval2018_rankfunc59_unsigned_64.qdimacs                                    | Timed out  | 1811.237907409668  
QBFEval2018_stmt46_289_388.qdimacs                                            | Timed out  | 1811.282459974289  
QBFEval2017_query24_query42_1344n.qdimacs                                     | Timed out  | 1815.3916726112366 
QBFEval2018_GuidanceService2.qdimacs                                          | Timed out  | 1811.3686439990997 
QBFEval2017_stmt19_90_408.qdimacs                                             | Timed out  | 1811.2276020050049 
QBFEval2018_itc-b13-fixpoint-7.qdimacs                                        | Timed out  | 1817.1614081859589 
QBFEval2018_stmt21_178_258.qdimacs                                            | Successful | 377.5516505241394  
QBFEval2018_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#60.asp.qdimacs                   | Failed     | 0.1522812843322754 
Arithmetic_subtraction512.qdimacs                                             | Timed out  | 1812.1021292209625 
QBFEval2017_nxquery_query42_1344n.qdimacs                                     | Timed out  | 1812.789800643921  
QBFEval2018_decomposition256.qdimacs                                          | Timed out  | 1811.8687069416046 
QBFEval2018_stmt52_295_394.qdimacs                                            | Timed out  | 1811.9049715995789 
QBFEval2017_rankfunc31_unsigned_64.qdimacs                                    | Timed out  | 1821.0430755615234 
QBFEval2018_query31_query42_1344n.qdimacs                                     | Timed out  | 1811.657254934311  
QBFEval2017_small-swap1-fixpoint-5.qdimacs                                    | Timed out  | 1811.2777962684631 
QBFEval2018_stmt27_16_224.qdimacs                                             | Successful | 74.58615016937256  
QBFEval2017_rankfunc34_signed_64.qdimacs                                      | Timed out  | 1811.533475637436  
QBFEval2017_query60_query45_1344n.qdimacs                                     | Timed out  | 1811.1440513134003 
QBFEval2017_stmt19_79_83.qdimacs                                              | Timed out  | 1811.9943444728851 
QBFEval2017_small-swap2-fixpoint-6.qdimacs                                    | Successful | 299.0981752872467  
QBFEval2017_query15_query42_1344n.qdimacs                                     | Timed out  | 1812.3281149864197 
QBFEval2018_stmt23_66_76.qdimacs                                              | Timed out  | 1811.9003195762634 
QBFEval2017_small-bug1-fixpoint-6.qdimacs                                     | Successful | 7.511821269989014  
QBFEval2018_stmt27_149_224.qdimacs                                            | Timed out  | 1811.1786921024323 
QBFEval2017_pdtpmsrotate32.qdimacs                                            | Timed out  | 1811.922991514206  
QBFEval2018_query60_query44_1344n.qdimacs                                     | Timed out  | 1811.2672622203827 
Arithmetic_subtraction32.qdimacs                                              | Successful | 9.256216526031494  
QBFEval2018_eijkbs4863.qdimacs                                                | Timed out  | 1811.2494864463806 
Disjunctive_Decomposition_bobsmfpu_all_bit_differing_from_cycle.qdimacs       | Timed out  | 1811.074474811554  
QBFEval2018_query06_query42_1344n.qdimacs                                     | Timed out  | 1811.778864622116  
QBFEval2018_query34_query11_1344n.qdimacs                                     | Timed out  | 1811.8009107112885 
QBFEval2017_small-swap1-fixpoint-9.qdimacs                                    | Timed out  | 1817.6616079807281 
QBFEval2017_stmt19_79_87.qdimacs                                              | Timed out  | 1814.2782144546509 
QBFEval2018_stmt27_93_98.qdimacs                                              | Successful | 193.1119339466095  
QBFEval2018_small-synabs-fixpoint-3.qdimacs                                   | Successful | 29.717867851257324 
QBFEval2018_rankfunc2_unsigned_64.qdimacs                                     | Timed out  | 1811.1628804206848 
