Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |                                             QBFEval2017_AR-fixpoint-8 |    FAILED |              7.0 |     1200.0 | 
 |                                     QBFEval2017_axquery_query42_1344n |      PASS |              0.0 |      168.0 | 
 |                                     QBFEval2017_beemskbn1f1_c0to7.sat |    FAILED |              1.0 |     1200.0 | 
 |                                             QBFEval2017_bobtuint31neg |    FAILED |              0.0 |     1200.0 | 
 |                                                QBFEval2017_bs128n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                                QBFEval2017_bs128y.sat |    FAILED |              1.0 |     1200.0 | 
 |                              QBFEval2017_cache-coherence-2-fixpoint-2 |    FAILED |              0.0 |     1200.0 | 
 |                              QBFEval2017_cache-coherence-2-fixpoint-5 |    FAILED |              0.0 |     1200.0 | 
 |                              QBFEval2017_cache-coherence-3-fixpoint-1 |    FAILED |              0.0 |     1200.0 | 
 |                              QBFEval2017_cache-coherence-3-fixpoint-2 |    FAILED |              0.0 |     1200.0 | 
 |                                                QBFEval2017_ceiling256 |    FAILED |              1.0 |     1200.0 | 
 |                                   QBFEval2017_ConcreteActivityService |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#110.A#48.c#.w#9.s#13.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#112.A#48.c#.w#5.s#27.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#116.A#48.c#.w#7.s#56.asp |    FAILED |              1.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#118.A#48.c#.w#5.s#7.asp |    FAILED |              0.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#120.A#48.c#.w#3.s#3.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#122.A#48.c#.w#3.s#51.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp |    FAILED |              1.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#17.asp |    FAILED |              0.0 |     1200.0 | 
 |                    QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#1.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#26.asp |    FAILED |              0.0 |     1200.0 | 
 |                   QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#60.asp |    FAILED |              1.0 |     1200.0 | 
