Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                  | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_bs128y.sat                                                | Preproc finished unsolved, FG skipped, MUS skipped | 6934 / 0 / 5374     | 6797 / 0 / 5374     | 20255 / 0 / 10519    | 4.48 / 0.0 / 3.31       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_rankfunc53_signed_64                                      | Preproc Solved, FG skipped.                        | 3416 / 0 / 3416     | 3032 / 0 / 3032     | 8419 / 0 / 8418      | 0.37 / 0.0 / 0.35       | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2018_sortnetsort10.AE.stepl.009                                | Preproc finished unsolved, FG skipped, MUS skipped | 9201 / 0 / 2485     | 7500 / 0 / 2485     | 15374 / 0 / 2835     | 2.32 / 0.0 / 1.82       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_pdtpmsrotate32                                            | Preproc Solved, FG skipped.                        | 591 / 0 / 591       | 461 / 0 / 461       | 1893 / 0 / 1892      | 0.38 / 0.0 / 0.28       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2017_stmt31_22_328                                             | Preproc finished unsolved, FG skipped, MUS skipped | 2937 / 0 / 1757     | 2693 / 0 / 1717     | 9739 / 0 / 4223      | 5.14 / 0.0 / 3.7        | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2018_ethernet-fixpoint-1                                       | Preproc finished unsolved, FG skipped, MUS skipped | 3333 / 0 / 2163     | 2871 / 0 / 2163     | 8760 / 0 / 4479      | 2.54 / 0.0 / 2.01       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_rankfunc55_unsigned_32                                    | Preproc finished unsolved, FG skipped, MUS skipped | 1161 / 0 / 722      | 1033 / 0 / 722      | 3103 / 0 / 1723      | 0.42 / 0.0 / 0.35       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_cache-coherence-3-fixpoint-2                              | Preproc finished unsolved, FG skipped, MUS skipped | 5488 / 0 / 3130     | 4888 / 0 / 3130     | 15891 / 0 / 6304     | 3.64 / 0.0 / 2.62       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_small-dyn-partition-fixpoint-4                            | Preproc finished unsolved, FG skipped, MUS skipped | 434 / 0 / 373       | 394 / 0 / 373       | 1227 / 0 / 1061      | 0.85 / 0.0 / 0.66       | PreProc-ed 5 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_AR-fixpoint-10                                            | Preproc finished unsolved, FG skipped, MUS skipped | 772792 / 0 / 0      | 717770 / 0 / 0      | 2493101 / 0 / 0      | 67.12 / 0.0 / 0.0       | Kissat Timeout after 0 rounds   |                   |                    |                  |                |            |                                                         | 0.06       
