Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_kenflashp12                                               | Preproc Solved, FG skipped.                         | 381 / 0 / 381       | 337 / 0 / 337       | 1346 / 0 / 1345      | 0.13 / 0.0 / 0.1       | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2017_sortnetsort10.AE.stepl.007                                | MUS timed out                                       | 7161 / 0 / 1935     | 5838 / 0 / 1935     | 11962 / 0 / 2207     | 2.64 / 1.1 / 0.85      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_usb-phy-fixpoint-5                                        | MUS timed out                                       | 9811 / 0 / 5391     | 8809 / 0 / 5391     | 28658 / 0 / 10547    | 12.27 / 2.35 / 5.22    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_bobsmhdlc_all_bit_differing_from_cycle      | MUS timed out                                       | 878 / 0 / 295       | 643 / 0 / 295       | 2784 / 0 / 476       | 2.97 / 1.67 / 0.61     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_add20y.sat                                                | Preproc Solved, FG skipped.                         | 616 / 0 / 616       | 573 / 0 / 573       | 1651 / 0 / 1650      | 0.5 / 0.0 / 0.33       | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2017_stmt31_190_227                                            | MUS timed out                                       | 2742 / 0 / 1949     | 2564 / 0 / 1921     | 8872 / 0 / 5469      | 2.41 / 0.93 / 0.86     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_driver_c9y.sat                                            | MUS timed out                                       | 1644 / 0 / 1067     | 1535 / 0 / 1067     | 4687 / 0 / 2111      | 2.42 / 0.98 / 0.86     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc48_unsigned_16                                    | Preproc Solved, FG skipped.                         | 1478 / 0 / 1478     | 1318 / 0 / 1318     | 4026 / 0 / 4025      | 0.15 / 0.0 / 0.12      | PreProc-ed 1 rounds           |                   |                    |                  |                |                                |                                                         |            
QBFEval2017_neclaftp2002                                              | MUS timed out                                       | 12007 / 0 / 3371    | 7734 / 0 / 3371     | 34731 / 0 / 4862     | 15.98 / 5.32 / 5.64    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_stmt25_52_53                                              | MUS timed out                                       | 2008 / 64 / 1612    | 1779 / 33 / 1538    | 6748 / 66 / 5395     | 2.2 / 0.54 / 1.0       | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_trivial_query42_1344n                                     | MUS timed out                                       | 2021 / 0 / 1262     | 1939 / 0 / 1262     | 6920 / 0 / 1206      | 3.84 / 2.05 / 1.1      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 17.56 / 0.17 / 6920 / 0                                 | 1500.0     
QBFEval2017_sdlx-fixpoint-1                                           | MUS timed out                                       | 1041 / 0 / 823      | 926 / 0 / 823       | 2972 / 0 / 1903      | 0.94 / 0.43 / 0.33     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
