All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
    1836 |     1025 |     0.00 |     0.09 |     4.35 |      156 |       34 |     0.03 |        4 |     0.04 |     0.21 |        2 |                  |        3 |       0.193 |       0.020 |      | query24_query42_1344n.qdimacs
   11495 |     3263 |     0.01 |     1.41 |    54.87 |      361 |      105 |     0.12 |        6 |     0.08 |     1.83 |        1 |                  |        2 |      34.616 |       0.113 |      | GuidanceService2.qdimacs
   17080 |    10221 |     0.02 |    14.51 |   420.23 |     1539 |      326 |     1.66 |        4 |     2.13 |    20.02 |          |                  |          |       0.000 |       0.000 |      | sortnetsort10.AE.stepl.010.qdimacs
    6104 |     2159 |     0.01 |     0.50 |    18.95 |      202 |       67 |     0.06 |        9 |     0.05 |     1.15 |          |                  |          |       0.000 |       0.000 |      | itc-b13-fixpoint-2.qdimacs
    3578 |     1298 |     0.00 |     0.05 |     4.29 |      158 |       36 |     0.02 |        5 |     0.02 |     0.37 |          |                  |          |       0.000 |       0.000 |      | eijkbs3330.qdimacs
   23758 |     8077 |     0.03 |    10.08 |   417.99 |      768 |      259 |     1.18 |        4 |     0.20 |    12.14 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#110.A#48.c#.w#9.s#13.asp.qdimacs
   16950 |     5079 |     0.02 |     3.64 |   136.46 |      364 |      164 |     0.31 |        4 |     0.32 |     4.56 |          |                  |          |       0.000 |       0.000 |      | stmt29_275_376.qdimacs
   10913 |     1627 |     0.01 |     0.36 |    73.28 |      249 |       53 |     0.05 |        4 |     0.12 |     0.50 |          |                  |          |       0.000 |       0.000 |      | amba3b5y.sat.qdimacs
   41813 |    10699 |     0.05 |    17.24 |   704.83 |      826 |      342 |     2.27 |        6 |     0.27 |    22.24 |          |                  |          |       0.000 |       0.000 |      | stmt19_75_95.qdimacs
   40046 |    10264 |     0.05 |    14.83 |   663.03 |      770 |      332 |     2.31 |        4 |     0.28 |    23.52 |          |                  |          |       0.000 |       0.000 |      | stmt19_71_95.qdimacs
    4526 |     2697 |     0.01 |     1.20 |    24.07 |      271 |       88 |     0.08 |        4 |     0.10 |     1.23 |        1 |                  |        2 |    3292.488 |       0.229 |      | sortnetsort7.AE.stepl.006.qdimacs
   39096 |     7468 |     0.05 |     7.86 |   489.79 |     2262 |      236 |     1.09 |        4 |     0.89 |     9.99 |          |                  |          |       0.000 |       0.000 |      | query10_query06_1344n.qdimacs
  243053 |    89111 |     0.30 |  1351.51 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | oski3ub5i_c0to63.sat.qdimacs
   13523 |     5147 |     0.02 |     2.89 |   108.94 |      570 |      162 |     0.29 |        4 |     0.10 |     4.90 |          |                  |          |       0.000 |       0.000 |      | rankfunc59_signed_64.qdimacs
     531 |      335 |     0.00 |     0.01 |     0.29 |       50 |       11 |     0.01 |        6 |     0.01 |     0.02 |        4 |                  |        5 |       0.041 |       0.004 |      | trueque_query42_1344n.qdimacs
