Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
QBFEval2017_ltl2dba_U1-4_comp4_REAL.sat_kissat_output.qdimacs                               | 0           | 34683         | 13075           | 0              | Yes      
QBFEval2017_mult9.sat_kissat_output.qdimacs                                                 | 0           | 2342          | 1564            | 0              | Yes      
QBFEval2017_mult_bool_matrix_12_13_11.sat_kissat_output.qdimacs                             | 0           | 12698         | 25497           | 0              | No       
QBFEval2017_mult_bool_matrix_18_18_18.sat_kissat_output.qdimacs                             | 0           | 45183         | 86514           | 0              | No       
QBFEval2017_mult_bool_matrix_dyn_7_7.sat_kissat_output.qdimacs                              | 0           | 3300          | 5649            | 0              | Yes      
QBFEval2017_mult_bool_matrix_dyn_9_5.sat_kissat_output.qdimacs                              | 0           | 2469          | 3967            | 0              | Yes      
QBFEval2017_neclaftp2002_kissat_output.qdimacs                                              | 0           | 29869         | 17797           | 0              | Yes      
QBFEval2017_nreachq_query11_1344n_kissat_output.qdimacs                                     | 0           | 37232         | 4725            | 0              | Yes      
QBFEval2017_nreachq_query42_1344n_kissat_output.qdimacs                                     | 0           | 46132         | 8923            | 0              | Yes      
QBFEval2017_nreachq_query54_1344n_kissat_output.qdimacs                                     | 0           | 46128         | 8369            | 0              | Yes      
QBFEval2017_ntrivil_query42_1344n_kissat_output.qdimacs                                     | 0           | 5714          | 2021            | 0              | Yes      
QBFEval2017_nxquery_query42_1344n_kissat_output.qdimacs                                     | 0           | 1304          | 618             | 0              | Yes      
QBFEval2017_nxquery_query50_1344n_kissat_output.qdimacs                                     | 0           | 655           | 295             | 0              | Yes      
QBFEval2017_oski3ub5i_c0to511.sat_kissat_output.qdimacs                                     | 0           | 127960        | 89111           | 0              | Yes      
QBFEval2017_oski3ub5i_c0to63.sat_kissat_output.qdimacs                                      | 0           | 128857        | 89111           | 0              | Yes      
QBFEval2017_pi-bus-fixpoint-2_kissat_output.qdimacs                                         | 0           | 50303         | 33225           | 0              | Yes      
QBFEval2017_query01_query42_1344n_kissat_output.qdimacs                                     | 0           | 1600          | 738             | 0              | Yes      
QBFEval2017_query02_query42_1344n_kissat_output.qdimacs                                     | 0           | 1596          | 730             | 0              | Yes      
QBFEval2017_query02_query44_1344n_kissat_output.qdimacs                                     | 0           | 1596          | 730             | 0              | Yes      
QBFEval2017_query03_query42_1344n_kissat_output.qdimacs                                     | 0           | 9186          | 3225            | 0              | Yes      
